symbol,timestamp,open,high,low,close,SMA_50
BTCUSDT,2025-02-27,85218.19,86718.46,84690.11,86441.62,86441.62
BTCUSDT,2025-02-27,84237.27,85431.22,84034,85218.19,85817.6707
BTCUSDT,2025-02-26,83845.12,85389.61,82222.87,84237.27,85269.66080522598
BTCUSDT,2025-02-26,87557.98,87796.92,83401.52,83845.12,84891.8783934826
BTCUSDT,2025-02-26,88617.76,88676.67,85428.12,87557.98,85468.59182842424
BTCUSDT,2025-02-26,88722.29,89310.89,88161.01,88617.76,86047.3094663597
BTCUSDT,2025-02-26,88900.28,89241.8,88407.47,88722.29,86476.80206774634
BTCUSDT,2025-02-26,88682.34,89411.5,88155.28,88900.28,86823.8068614868
BTCUSDT,2025-02-25,87941.9,89456.23,87623.57,88682.34,87064.8583721236
BTCUSDT,2025-02-25,87232.08,88063.51,86168.05,87941.9,87169.17183999058
BTCUSDT,2025-02-25,89239.52,89540.26,86055.35,87232.08,87176.10155114483
BTCUSDT,2025-02-25,89309.93,89978.88,86880.96,89239.52,87388.34299561696
BTCUSDT,2025-02-25,92155.27,92323,88195.66,89309.93,87574.16916113817
BTCUSDT,2025-02-25,91543.26,92534.62,90914.34,92155.27,87993.09859053076
BTCUSDT,2025-02-24,93946.79,94571.72,91340.06,91543.26,88301.63595135947
BTCUSDT,2025-02-24,94330.16,95189.96,93674.15,93946.79,88769.9117457043
BTCUSDT,2025-02-24,95822.35,96094.34,93828.42,94330.16,89211.81721398729
BTCUSDT,2025-02-24,95867.97,96166.03,95361.1,95822.35,89716.86176311653
BTCUSDT,2025-02-24,95432.79,95946.27,95079.73,95867.97,90169.95821748122
BTCUSDT,2025-02-24,96259.72,96499.66,95309.97,95432.79,90544.71479955278
BTCUSDT,2025-02-23,95756.45,96330.25,95535.23,96259.72,90939.05393446218
BTCUSDT,2025-02-23,95441.49,95875.15,95243.93,95756.45,91261.84317665175
BTCUSDT,2025-02-23,96114.11,96158.35,95417.3,95441.49,91534.32793836307
BTCUSDT,2025-02-23,96505.42,96505.44,96083.53,96114.11,91825.3390568601
BTCUSDT,2025-02-23,96414.51,96549.73,96142.78,96505.42,92115.66080090082
BTCUSDT,2025-02-23,96545.83,96638.45,96361.48,96414.51,92376.38427374882
BTCUSDT,2025-02-22,96630,96690.52,96479.7,96545.83,92623.95310967145
BTCUSDT,2025-02-22,96587.53,96804.83,96345.25,96630,92857.11891655106
BTCUSDT,2025-02-22,96565.07,96971.63,96486.67,96587.53,93070.19590604122
BTCUSDT,2025-02-22,96259.35,96593.75,96118.72,96565.07,93266.30823939237
BTCUSDT,2025-02-22,96249.93,96549.08,96225.41,96259.35,93431.46961954622
BTCUSDT,2025-02-22,96113.89,96434.39,95737.52,96249.93,93584.55314163037
BTCUSDT,2025-02-21,95220.72,96133.39,94784.67,96113.89,93719.88960559861
BTCUSDT,2025-02-21,98075.59,98727.09,95185.07,95220.72,93799.06262206202
BTCUSDT,2025-02-21,98632.1,99485.21,97160.12,98075.59,94021.6482774572
BTCUSDT,2025-02-21,98179.81,98910.52,98116.14,98632.1,94258.5737469254
BTCUSDT,2025-02-21,98150.7,98604.75,98123.73,98179.81,94457.65780912735
BTCUSDT,2025-02-21,98304.94,98504.9,98083.95,98150.7,94643.01448402138
BTCUSDT,2025-02-20,98418.86,98716.68,98003.89,98304.94,94824.81412029431
BTCUSDT,2025-02-20,96906.9,98521.18,96881.09,98418.86,95001.40195881132
BTCUSDT,2025-02-20,97209.92,98042.28,96808.72,96906.9,95094.10621497493
BTCUSDT,2025-02-20,96870.41,97387.67,96804.44,97209.92,95196.08037684602
BTCUSDT,2025-02-20,97063.33,97348.6,96786.36,96870.41,95276.05844118926
BTCUSDT,2025-02-20,96646.13,97372.82,96420.4,97063.33,95360.70754800818
BTCUSDT,2025-02-19,96208.49,96893.12,96056.47,96646.13,95421.0960234675
BTCUSDT,2025-02-19,95944.95,96488.77,95417.88,96208.49,95457.802400597
BTCUSDT,2025-02-19,96429.53,96705.15,95536.42,95944.95,95480.34516911361
BTCUSDT,2025-02-19,95688.32,96468.96,95629.72,96429.53,95523.96082538641
BTCUSDT,2025-02-19,95712.25,95848.48,95042.79,95688.32,95531.46271075994
BTCUSDT,2025-02-19,95665.99,95962.76,95056.13,95712.25,95539.66172888863
BTCUSDT,2025-02-18,94105.24,95677.54,93738.33,95665.99,95545.35599546359
BTCUSDT,2025-02-18,95549.16,95638.19,93387.95,94105.24,95480.8206844946
BTCUSDT,2025-02-18,95637.98,96748.33,95206.88,95549.16,95483.86610056403
BTCUSDT,2025-02-18,95455.85,95878.29,95094.57,95637.98,95490.69737334158
BTCUSDT,2025-02-18,96199.33,96298.46,95246.34,95455.85,95489.16057783975
BTCUSDT,2025-02-18,95781.58,96320.94,95551.84,96199.33,95520.32733432714
BTCUSDT,2025-02-17,95535.65,96419.83,95496.1,95781.58,95531.7394624946
BTCUSDT,2025-02-17,95661.47,95947.13,95203.74,95535.65,95531.9095243219
