Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-04-27 09:30:00-04:00,33450.921875,33592.55859375,33195.80859375,33195.80859375,0,0.0,0.0
2022-04-27 10:30:00-04:00,33186.078125,33516.51953125,33108.890625,33511.25,69783923,0.0,0.0
2022-04-27 11:30:00-04:00,33511.12890625,33657.44140625,33476.1484375,33646.3515625,49313960,0.0,0.0
2022-04-27 12:30:00-04:00,33647.71875,33697.1796875,33487.37109375,33600.25,42582323,0.0,0.0
2022-04-27 13:30:00-04:00,33603.12109375,33663.37109375,33542.16015625,33551.6796875,33707786,0.0,0.0
2022-04-27 14:30:00-04:00,33551.859375,33630.48828125,33340.12890625,33402.28125,45525795,0.0,0.0
2022-04-27 15:30:00-04:00,33403.55859375,33446.140625,33272.23828125,33295.76171875,58471361,0.0,0.0
2022-04-28 09:30:00-04:00,33425.9609375,33523.28125,33313.421875,33315.76953125,0,0.0,0.0
2022-04-28 10:30:00-04:00,33314.01171875,33492.5703125,33248.4609375,33459.78125,53107544,0.0,0.0
2022-04-28 11:30:00-04:00,33460.69140625,33614.359375,33387.6796875,33614.359375,41153179,0.0,0.0
2022-04-28 12:30:00-04:00,33614.328125,33900.19140625,33614.328125,33895.48828125,43622385,0.0,0.0
2022-04-28 13:30:00-04:00,33894.37890625,33933.48828125,33844.6484375,33906.03125,40782873,0.0,0.0
2022-04-28 14:30:00-04:00,33907.12109375,34054.7890625,33887.48046875,34001.3515625,49713548,0.0,0.0
2022-04-28 15:30:00-04:00,34001.390625,34007.640625,33834.30078125,33933.66015625,65410587,0.0,0.0
2022-04-29 09:30:00-04:00,33787.01171875,33919.58984375,33530.73046875,33548.01953125,0,0.0,0.0
2022-04-29 10:30:00-04:00,33547.41015625,33584.6015625,33477.01171875,33566.51171875,53446847,0.0,0.0
2022-04-29 11:30:00-04:00,33572.80078125,33653.12890625,33427.0703125,33437.609375,40097388,0.0,0.0
2022-04-29 12:30:00-04:00,33436.8203125,33479.23046875,33315.94140625,33439.51171875,36643535,0.0,0.0
2022-04-29 13:30:00-04:00,33438.44140625,33504.8984375,33321.30859375,33336.98046875,34038053,0.0,0.0
2022-04-29 14:30:00-04:00,33336.33984375,33346.62109375,33133.7109375,33156.76171875,47971786,0.0,0.0
2022-04-29 15:30:00-04:00,33156.33984375,33227.12890625,32913.1484375,32973.171875,81403070,0.0,0.0
